,收盘,signal
2012-03-12,786.05,1.0
2012-03-13,792.38,1.0
2012-03-14,756.46,1.0
2012-03-15,746.44,1.0
2012-03-16,765.56,1.0
2012-03-19,779.56,1.0
2012-03-20,755.58,1.0
2012-03-21,751.79,1.0
2012-03-22,750.85,1.0
2012-03-23,737.89,1.0
2012-03-26,737.21,1.0
2012-03-27,735.73,1.0
2012-03-28,698.49,1.0
2012-03-29,683.96,1.0
2012-03-30,678.52,1.0
2012-04-05,697.75,-1.0
2012-04-06,701.9,-1.0
2012-04-09,689.72,-1.0
2012-04-10,697.17,-1.0
2012-04-11,698.49,-1.0
2012-04-12,713.12,-1.0
2012-04-13,718.96,-1.0
2012-04-16,716.23,-1.0
2012-04-17,709.14,-1.0
2012-04-18,723.46,-1.0
2012-04-19,725.12,-1.0
2012-04-20,728.72,-1.0
2012-04-23,690.43,-1.0
2012-04-24,681.53,-1.0
2012-04-25,682.52,-1.0
2012-04-26,678.44,-1.0
2012-04-27,685.13,-1.0
2012-05-02,693.61,-1.0
2012-05-03,699.31,-1.0
2012-05-04,713.19,-1.0
2012-05-07,733.05,-1.0
2012-05-08,731.72,-1.0
2012-05-09,719.35,-1.0
2012-05-10,727.29,-1.0
2012-05-11,721.08,-1.0
2012-05-14,719.87,-1.0
2012-05-15,720.12,-1.0
2012-05-16,709.96,-1.0
2012-05-17,716.17,-1.0
2012-05-18,706.22,-1.0
2012-05-21,704.8,-1.0
2012-05-22,714.66,-1.0
2012-05-23,713.02,-1.0
2012-05-24,712.58,-1.0
2012-05-25,702.72,-1.0
2012-05-28,706.47,-1.0
2012-05-29,720.45,1.0
2012-05-30,727.19,1.0
2012-05-31,734.45,1.0
2012-06-01,734.26,1.0
2012-06-04,717.1,1.0
2012-06-05,715.93,1.0
2012-06-06,715.24,1.0
2012-06-07,711.43,1.0
2012-06-08,713.92,1.0
2012-06-11,734.5,1.0
2012-06-12,735.29,-1.0
2012-06-13,746.51,-1.0
2012-06-14,740.97,-1.0
2012-06-15,742.27,-1.0
2012-06-18,752.98,-1.0
2012-06-19,747.49,-1.0
2012-06-20,748.39,-1.0
2012-06-21,739.05,-1.0
2012-06-25,720.6,-1.0
2012-06-26,715.92,-1.0
2012-06-27,718.93,-1.0
2012-06-28,711.14,-1.0
2012-06-29,726.68,-1.0
2012-07-02,741.19,-1.0
2012-07-03,743.9,-1.0
2012-07-04,739.62,-1.0
2012-07-05,724.31,-1.0
2012-07-06,737.29,-1.0
2012-07-09,722.28,-1.0
2012-07-10,713.53,1.0
2012-07-11,719.3,1.0
2012-07-12,734.32,1.0
2012-07-13,725.79,1.0
2012-07-16,691.39,-1.0
2012-07-17,697.0,-1.0
2012-07-18,702.14,-1.0
2012-07-19,709.17,-1.0
2012-07-20,706.25,-1.0
2012-07-23,704.57,-1.0
2012-07-24,706.4,-1.0
2012-07-25,708.3,-1.0
2012-07-26,706.73,-1.0
2012-07-27,703.58,-1.0
2012-07-30,688.47,1.0
2012-07-31,676.96,1.0
2012-08-01,689.49,1.0
2012-08-02,690.98,1.0
2012-08-03,711.93,1.0
2012-08-06,730.42,1.0
2012-08-07,736.01,1.0
2012-08-08,730.07,1.0
2012-08-09,743.2,1.0
2012-08-10,743.07,1.0
2012-08-13,727.64,1.0
2012-08-14,736.35,1.0
2012-08-15,729.73,1.0
2012-08-16,723.53,1.0
2012-08-17,721.05,1.0
2012-08-20,730.87,1.0
2012-08-21,748.94,1.0
2012-08-22,746.85,-1.0
2012-08-23,750.56,-1.0
2012-08-24,733.31,-1.0
2012-08-27,722.57,-1.0
2012-08-28,727.62,-1.0
2012-08-29,726.94,-1.0
2012-08-30,704.04,-1.0
2012-08-31,706.63,-1.0
2012-09-03,723.87,-1.0
2012-09-04,722.72,-1.0
2012-09-05,730.62,-1.0
2012-09-06,739.74,-1.0
2012-09-07,759.46,-1.0
2012-09-10,762.31,-1.0
2012-09-11,761.73,-1.0
2012-09-12,762.51,-1.0
2012-09-13,749.89,-1.0
2012-09-14,744.46,-1.0
2012-09-17,724.15,-1.0
2012-09-18,723.61,-1.0
2012-09-19,728.25,-1.0
2012-09-20,706.69,-1.0
2012-09-21,691.14,-1.0
