日期,收盘,换手率,成交均价
2014-06-18,1363.99,0.0034000000000000002,1736.3647276399124
2014-06-19,1320.66,0.0038,1676.8502138544507
2014-06-20,1333.98,0.0026,1710.305853739447
2014-06-23,1361.28,0.0032,1795.4158436646355
2014-06-24,1369.44,0.0032,1753.2882005559366
2014-06-25,1358.71,0.0031,1802.9510299972833
2014-06-26,1386.27,0.0040999999999999995,1842.0506297840454
2014-06-27,1388.82,0.0040999999999999995,1868.5466685962442
2014-06-30,1404.71,0.0042,1830.032544634436
2014-07-01,1411.74,0.0043,1781.919657317923
2014-07-02,1419.94,0.0046,1765.585851828882
2014-07-03,1422.6,0.0045000000000000005,1743.9837538248391
2014-07-04,1411.64,0.0043,1756.6370185176897
2014-07-07,1393.89,0.004,1743.488417803275
2014-07-08,1410.73,0.0042,1774.2987850635745
2014-07-09,1384.58,0.0048,1755.0292167131502
2014-07-10,1363.88,0.0037,1799.470743290353
2014-07-11,1359.34,0.0034000000000000002,1815.0940986062308
2014-07-14,1367.07,0.0038,1811.8726646025325
2014-07-15,1341.27,0.0043,1731.4067864145934
2014-07-16,1318.62,0.0036,1747.9441523329556
2014-07-17,1312.81,0.0026,1777.543076623504
2014-07-18,1305.92,0.0025,1731.0800049803945
2014-07-21,1306.97,0.0027,1724.9714139622872
2014-07-22,1329.35,0.0027,1726.0841058456717
2014-07-23,1293.09,0.0032,1742.5684056934763
2014-07-24,1271.88,0.0031,1695.2194388768999
2014-07-25,1285.77,0.0023,1716.500043222675
2014-07-28,1314.53,0.0031,1620.9211029924456
2014-07-29,1331.76,0.0034000000000000002,1683.582228917479
2014-07-30,1342.74,0.0033,1735.1839013946762
2014-07-31,1344.54,0.0031,1663.3768484000498
2014-08-01,1325.94,0.0036,1589.6962099340246
2014-08-04,1329.82,0.0028000000000000004,1622.9950130463149
2014-08-05,1360.69,0.0043,1657.9374730800341
2014-08-06,1365.74,0.0034000000000000002,1672.0702598259281
2014-08-07,1362.03,0.0036,1642.516669104127
2014-08-08,1377.45,0.0032,1691.9036050894877
2014-08-11,1397.78,0.0038,1643.6192163191183
2014-08-12,1396.44,0.0038,1666.5004923991353
2014-08-13,1384.31,0.004,1679.7069874544595
2014-08-14,1380.3,0.0040999999999999995,1624.0607709730104
2014-08-15,1392.45,0.004,1585.191095183818
2014-08-18,1428.74,0.005,1699.05652681834
2014-08-19,1436.4,0.0054,1742.7213435345216
2014-08-20,1427.4,0.0042,1756.9020137072343
2014-08-21,1447.88,0.0043,1787.962016781724
2014-08-22,1461.72,0.0049,1768.0639370887948
2014-08-25,1443.81,0.0044,1787.5410292135027
2014-08-26,1411.15,0.0040999999999999995,1733.854528867152
2014-08-27,1420.54,0.0031,1777.3621558715581
2014-08-28,1403.8,0.003,1802.6308454803302
2014-08-29,1424.47,0.0026,1856.5666731272368
2014-09-01,1452.84,0.0034000000000000002,1857.0208116296722
2014-09-02,1465.03,0.0046,1872.105022628682
2014-09-03,1477.67,0.0053,1828.3612907575568
2014-09-04,1495.51,0.0054,1894.933648883364
2014-09-05,1489.84,0.004699999999999999,1835.1702979739987
2014-09-09,1494.02,0.0048,1830.3703094515133
2014-09-10,1504.91,0.0048,1823.0255337451688
2014-09-11,1513.01,0.0058,1835.123927937277
2014-09-12,1524.12,0.0046,1814.2884347686443
2014-09-15,1526.14,0.0052,1888.6683136643016
2014-09-16,1473.13,0.006,1839.7470886055225
2014-09-17,1479.12,0.0039000000000000003,1803.8965563871348
2014-09-18,1490.79,0.0034999999999999996,1804.8100840080278
2014-09-19,1499.12,0.0037,1820.9699756409943
2014-09-22,1483.35,0.0040999999999999995,1817.8254480327937
2014-09-23,1500.99,0.0038,1861.2459387090555
2014-09-24,1517.42,0.0046,1825.8379926307828
2014-09-25,1508.42,0.005,1836.5579563210156
2014-09-26,1511.36,0.0040999999999999995,1836.33222759688
2014-09-29,1526.18,0.004699999999999999,1938.148824138276
2014-09-30,1540.87,0.0043,1899.8551718461279
