日期,收盘,换手率,成交均价
2019-06-13,3685.39,0.0033,1146.6618413953943
2019-06-14,3654.88,0.0034999999999999996,1145.0372236841697
2019-06-17,3654.82,0.0025,1275.6483842139266
2019-06-18,3667.62,0.0024,1265.6666140206428
2019-06-19,3715.94,0.0043,1374.0451203132209
2019-06-20,3828.52,0.0058,1348.5177138761262
2019-06-21,3833.94,0.0053,1301.5355612166732
2019-06-24,3841.27,0.0034000000000000002,1435.232826030285
2019-06-25,3801.31,0.0042,1364.9611114847175
2019-06-26,3794.33,0.0028000000000000004,1370.1597749790233
2019-06-27,3834.82,0.0036,1485.8415598253175
2019-06-28,3825.59,0.0029,1374.5117162880333
2019-07-01,3935.81,0.0054,1373.1753749344732
2019-07-02,3937.17,0.0045000000000000005,1319.523969787666
2019-07-03,3893.53,0.0038,1456.7545201109888
2019-07-04,3873.1,0.0034000000000000002,1436.138647987432
2019-07-05,3893.2,0.0025,1570.62524905911
2019-07-08,3802.79,0.0037,1343.7981178718424
2019-07-09,3793.13,0.0026,1511.8048468888069
2019-07-10,3786.74,0.0025,1391.5966636876528
2019-07-11,3785.22,0.0026,1509.3832479524767
2019-07-12,3808.73,0.0026,1417.9626638052973
2019-07-15,3824.19,0.0034999999999999996,1407.9613869727
2019-07-16,3806.84,0.0028000000000000004,1343.346990482659
2019-07-17,3804.64,0.0033,1226.749480124708
2019-07-18,3768.4,0.003,1276.27318783066
2019-07-19,3807.96,0.003,1337.2990974097415
2019-07-22,3781.68,0.0031,1279.1388299779583
2019-07-23,3789.91,0.0024,1456.4820476593252
2019-07-24,3819.83,0.0031,1428.8498761143046
2019-07-25,3851.07,0.0032,1343.065317397354
2019-07-26,3858.57,0.0028000000000000004,1332.3403810505254
2019-07-29,3854.27,0.0029,1316.7474849927846
2019-07-30,3870.32,0.0032,1280.017191967762
2019-07-31,3835.36,0.0028000000000000004,1352.189056088134
2019-08-01,3803.47,0.0029,1398.6840368807727
2019-08-02,3747.44,0.0037,1309.5824091844422
2019-08-05,3675.69,0.0034999999999999996,1313.198249057152
2019-08-06,3636.33,0.0044,1288.3192826623801
2019-08-07,3621.43,0.0029,1289.9967245701694
2019-08-08,3669.29,0.003,1299.848484249671
2019-08-09,3633.53,0.0029,1364.1467763745788
2019-08-12,3699.1,0.0028000000000000004,1475.692419983822
2019-08-13,3665.75,0.0026,1356.3909708436056
2019-08-14,3682.4,0.0031,1406.7765947570504
2019-08-15,3694.0,0.003,1345.853853763514
2019-08-16,3710.54,0.003,1502.4701305157223
2019-08-19,3791.09,0.0048,1402.80722087114
2019-08-20,3787.73,0.0037,1373.0430438405288
2019-08-21,3781.76,0.0028000000000000004,1478.5988131380166
2019-08-22,3793.51,0.0029,1406.7269736211488
2019-08-23,3820.86,0.003,1566.7421671932661
2019-08-26,3765.91,0.0032,1516.642828999659
2019-08-27,3816.95,0.0043,1457.1204206758423
2019-08-28,3802.58,0.003,1551.1663915818594
2019-08-29,3790.19,0.0029,1504.1696369343447
2019-08-30,3799.59,0.0033,1576.176987242897
2019-09-02,3848.32,0.0038,1496.014430187633
2019-09-03,3853.61,0.0033,1496.916387957128
2019-09-04,3886.0,0.0043,1396.5227696715883
2019-09-05,3925.32,0.0062,1346.9465054515333
2019-09-06,3948.51,0.0042,1490.9314694685636
2019-09-09,3972.95,0.005,1427.3260619454481
2019-09-10,3959.27,0.0045000000000000005,1409.544023268197
2019-09-11,3930.1,0.0045000000000000005,1445.0791368888797
2019-09-12,3972.38,0.0038,1421.8871802567735
2019-09-16,3957.72,0.0038,1403.3813626586893
2019-09-17,3891.22,0.0039000000000000003,1362.4190115815638
2019-09-18,3910.08,0.0028000000000000004,1586.2254940034904
2019-09-19,3924.38,0.0029,1481.9203521464015
2019-09-20,3935.65,0.0034999999999999996,1480.4618027107458
2019-09-23,3890.66,0.0032,1480.5305979108646
2019-09-24,3901.08,0.003,1621.5101694197192
2019-09-25,3870.98,0.0031,1488.1950596640436
2019-09-26,3841.14,0.0034999999999999996,1468.4444408092008
2019-09-27,3852.65,0.0025,1474.6576190772957
2019-09-30,3814.53,0.0023,1524.1205707521706
2019-10-08,3837.68,0.0026,1544.077569709387
2019-10-09,3843.24,0.0026,1481.8657989670305
2019-10-10,3874.64,0.0027,1609.0597086738808
2019-10-11,3911.73,0.0032,1496.771681697637
2019-10-14,3953.24,0.0042,1371.4533913984562
2019-10-15,3936.25,0.0029,1467.237194459438
2019-10-16,3922.69,0.0028000000000000004,1544.6231980682473
2019-10-17,3925.22,0.0022,1541.5676746627514
2019-10-18,3869.38,0.0028000000000000004,1484.2715930837644
2019-10-21,3880.84,0.0025,1494.3903581467416
2019-10-22,3895.88,0.0024,1492.2447968519832
2019-10-23,3871.08,0.0024,1420.7343549535337
2019-10-24,3870.67,0.0024,1473.2961012706126
2019-10-25,3896.79,0.0026,1635.526979313904
2019-10-28,3926.59,0.0033,1547.7708620086225
2019-10-29,3910.23,0.0028000000000000004,1697.257270866974
2019-10-30,3891.23,0.0027,1574.4946687760178
2019-10-31,3886.75,0.003,1556.9756320912272
